    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
      58       1715.93     0.0048   1.880E+01   0.7015   0.3000   8.554E-18   4.08674247E+01   6.00977500E+01
      59       1734.73     0.0050   1.871E+01   0.6922   0.3000   1.183E-17   4.08848777E+01   6.01212098E+01
      60       1753.44     0.0049   1.872E+01   0.7117   0.3000   1.270E-17   4.09022504E+01   6.01450632E+01
      61       1772.15     0.0051   1.859E+01   0.7119   0.3000   8.309E-18   4.09196408E+01   6.01693851E+01
      62       1790.75     0.0048   9.253E+00   0.3507   0.1533   8.673E-18   4.09369263E+01   6.01939658E+01
      63          1800     1.4284   1.791E+01   0.6738   0.3000   1.027E-17   4.09455320E+01   6.02063501E+01
      64       1817.91     1.2899   1.758E+01   0.6829   0.3000   9.275E-18   4.09621944E+01   6.02305743E+01
      65       1835.49     0.0048   1.735E+01   0.6758   0.3000   1.329E-17   4.09785644E+01   6.02546563E+01
      66       1852.84     0.0051   1.719E+01   0.6879   0.3000   9.159E-18   4.09947246E+01   6.02786194E+01
      67       1870.03     0.0048   1.712E+01   0.7040   0.3000   1.024E-17   4.10107532E+01   6.03025373E+01
      68       1887.15     0.0047   1.713E+01   0.7038   0.3000   1.087E-17   4.10267246E+01   6.03264997E+01
      69       1904.28     0.0048   1.710E+01   0.6840   0.3000   1.115E-17   4.10427190E+01   6.03506207E+01
      70       1921.38     0.0047   1.694E+01   0.6917   0.3000   1.151E-17   4.10586901E+01   6.03747764E+01
      71       1938.32     0.0049   1.682E+01   0.6817   0.3000   1.093E-17   4.10745282E+01   6.03987657E+01
      72       1955.14     0.0048   1.673E+01   0.6805   0.3000   1.166E-17   4.10902641E+01   6.04225280E+01
      73       1971.87     0.0047   1.666E+01   0.7048   0.3000   1.243E-17   4.11059242E+01   6.04460853E+01
      74       1988.53     0.0047   1.645E+01   0.7232   0.3000   9.997E-18   4.11215309E+01   6.04695201E+01
      75       2004.98     0.0050   1.561E+01   0.6961   0.3000   1.112E-17   4.11369457E+01   6.04926131E+01
      76       2020.58     0.0047   1.515E+01   0.7122   0.3000   1.074E-17   4.11515836E+01   6.05145105E+01
      77       2035.74     0.0048   1.458E+01   0.7003   0.3000   1.163E-17   4.11658050E+01   6.05356890E+01
      78       2050.32     0.0049   1.425E+01   0.7019   0.3000   1.177E-17   4.11794990E+01   6.05559448E+01
      79       2064.57     0.0047   1.342E+01   0.6785   0.3000   1.023E-17   4.11928865E+01   6.05756699E+01
      80       2077.99     0.0049   1.333E+01   0.6804   0.3000   1.096E-17   4.12054983E+01   6.05941661E+01
      81       2091.32     0.0047   8.682E+00   0.4562   0.1930   1.413E-17   4.12180296E+01   6.06123710E+01
      82          2100     0.0049   1.323E+01   0.7011   0.3000   1.292E-17   4.12261962E+01   6.06241205E+01
      83       2113.23     2.6867   1.258E+01   0.7034   0.3000   1.154E-17   4.12386404E+01   6.06418277E+01
      84       2125.81     0.0046   1.261E+01   0.7299   0.3000   1.223E-17   4.12504855E+01   6.06585434E+01
      85       2138.42     0.0045   1.237E+01   0.7042   0.3000   2.151E-17   4.12623576E+01   6.06750267E+01
      86       2150.79     0.0045   1.208E+01   0.7223   0.3000   1.594E-17   4.12740070E+01   6.06908272E+01
      87       2162.87     0.0047   1.195E+01   0.7250   0.3000   1.456E-17   4.12853816E+01   6.07058833E+01
      88       2174.82     0.0046   1.171E+01   0.6956   0.3000   1.312E-17   4.12966428E+01   6.07205115E+01
      89       2186.53     0.0047   1.108E+01   0.6860   0.3000   1.439E-17   4.13076767E+01   6.07346253E+01
      90       2197.61     0.0048   1.158E+01   0.7084   0.3000   1.261E-17   4.13181195E+01   6.07476731E+01
      91       2209.19     0.0048   1.077E+01   0.6799   0.3000   1.322E-17   4.13290308E+01   6.07609574E+01
      92       2219.96     0.0048   1.017E+01   0.6456   0.3000   1.396E-17   4.13391751E+01   6.07730621E+01
      93       2230.13     0.0049   1.065E+01   0.6522   0.3000   1.425E-17   4.13487571E+01   6.07842001E+01
      94       2240.78     0.0048   1.035E+01   0.6704   0.3000   2.081E-17   4.13587931E+01   6.07954570E+01
      95       2251.13     0.0049   9.604E+00   0.6255   0.3000   1.308E-17   4.13685424E+01   6.08060987E+01
      96       2260.73     0.0049   9.853E+00   0.6200   0.3000   1.386E-17   4.13775883E+01   6.08157006E+01
      97       2270.59     0.0047   1.051E+01   0.6618   0.3000   1.420E-17   4.13868680E+01   6.08252026E+01
      98        2281.1     0.0050   9.558E+00   0.6041   0.3000   1.329E-17   4.13967635E+01   6.08349765E+01
      99       2290.65     0.0047   9.558E+00   0.6129   0.3000   1.349E-17   4.14057600E+01   6.08435098E+01
     100       2300.21     0.0049   1.030E+01   0.6609   0.3000   1.767E-17   4.14147540E+01   6.08516545E+01
     101       2310.51     0.0047   1.002E+01   0.6320   0.3000   1.597E-17   4.14244413E+01   6.08598830E+01
     102       2320.52     0.0050   9.717E+00   0.6432   0.3000   1.411E-17   4.14338600E+01   6.08673130E+01
     103       2330.24     0.0047   1.024E+01   0.6817   0.3000   1.392E-17   4.14429940E+01   6.08740096E+01
     104       2340.48     0.0049   1.052E+01   0.6775   0.3000   1.422E-17   4.14526123E+01   6.08806079E+01
     105       2350.99     0.0048   1.006E+01   0.6742   0.3000   1.657E-17   4.14624870E+01   6.08868507E+01
     106       2361.05     0.0048   1.039E+01   0.6997   0.3000   1.622E-17   4.14719282E+01   6.08922826E+01
     107       2371.45     0.0048   1.045E+01   0.6822   0.3000   1.266E-17   4.14816770E+01   6.08972390E+01
     108       2381.89     0.0047   1.004E+01   0.6711   0.3000   1.742E-17   4.14914679E+01   6.09016201E+01
     109       2391.93     0.0049   8.067E+00   0.5446   0.2388   1.590E-17   4.15008731E+01   6.09053264E+01
     110          2400     0.0048   1.037E+01   0.7155   0.3000   2.041E-17   4.15084233E+01   6.09080411E+01
     111       2410.37     2.6162   1.022E+01   0.7208   0.3000   2.026E-17   4.15181249E+01   6.09111647E+01
     112       2420.59     0.0046   9.670E+00   0.7043   0.3000   2.224E-17   4.15276738E+01   6.09137057E+01
     113       2430.26     0.0047   9.637E+00   0.7351   0.3000   1.547E-17   4.15367012E+01   6.09155200E+01
     114        2439.9     0.0047   1.003E+01   0.7708   0.3000   1.515E-17   4.15456895E+01   6.09169124E+01
     115       2449.93     0.0046   1.022E+01   0.8001   0.3000   1.748E-17   4.15550352E+01   6.09179804E+01
     116       2460.14     0.0047   9.508E+00   0.7667   0.3000   1.600E-17   4.15645445E+01   6.09186615E+01
     117       2469.65     0.0046   9.117E+00   0.7246   0.3000   2.628E-17   4.15733862E+01   6.09188730E+01
     118       2478.77     0.0047   9.449E+00   0.7520   0.3000   1.777E-17   4.15818552E+01   6.09187520E+01
     119       2488.22     0.0045   9.714E+00   0.7826   0.3000   2.065E-17   4.15906239E+01   6.09182627E+01
     120       2497.93     0.0047   8.610E+00   0.6722   0.3000   1.496E-17   4.15996285E+01   6.09174302E+01
     121       2506.54     0.0046   8.749E+00   0.6584   0.3000   1.516E-17   4.16076019E+01   6.09163769E+01
     122       2515.29     0.0047   9.843E+00   0.7469   0.3000   1.513E-17   4.16156947E+01   6.09149282E+01
     123       2525.13     0.0057   9.862E+00   0.7220   0.3000   2.122E-17   4.16247893E+01   6.09128074E+01
     124          2535     0.0052   9.235E+00   0.6450   0.3000   1.738E-17   4.16338899E+01   6.09102313E+01
     125       2544.23     0.0046   9.866E+00   0.6986   0.3000   1.383E-17   4.16424010E+01   6.09074953E+01
     126        2554.1     0.0048   9.455E+00   0.6659   0.3000   1.783E-17   4.16514822E+01   6.09040940E+01
     127       2563.55     0.0046   9.398E+00   0.6897   0.3000   1.302E-17   4.16601734E+01   6.09004129E+01
     128       2572.95     0.0048   9.053E+00   0.6714   0.3000   1.559E-17   4.16688005E+01   6.08962885E+01
     129          2582     0.0045   8.958E+00   0.6593   0.3000   1.716E-17   4.16771007E+01   6.08917905E+01
     130       2590.96     0.0047   8.841E+00   0.6556   0.3000   1.796E-17   4.16853033E+01   6.08868350E+01
     131        2599.8     0.0046   8.521E+00   0.6435   0.3000   1.833E-17   4.16933880E+01   6.08815126E+01
     132       2608.32     0.0049   8.296E+00   0.6378   0.3000   1.797E-17   4.17011700E+01   6.08760201E+01
     133       2616.62     0.0046   8.536E+00   0.6653   0.3000   1.644E-17   4.17087364E+01   6.08703260E+01
     134       2625.16     0.0046   8.399E+00   0.6472   0.3000   1.522E-17   4.17165115E+01   6.08640471E+01
     135       2633.55     0.0048   8.398E+00   0.6428   0.3000   2.568E-17   4.17241515E+01   6.08574464E+01
     136       2641.95     0.0055   8.502E+00   0.6619   0.3000   1.664E-17   4.17317816E+01   6.08504907E+01
     137       2650.46     0.0050   8.447E+00   0.6515   0.3000   2.037E-17   4.17394959E+01   6.08431534E+01
     138        2658.9     0.0053   8.181E+00   0.6283   0.3000   1.749E-17   4.17471502E+01   6.08355541E+01
     139       2667.08     0.0055   8.277E+00   0.6465   0.3000   1.847E-17   4.17545535E+01   6.08279312E+01
     140       2675.36     0.0050   8.713E+00   0.6749   0.3000   1.568E-17   4.17620348E+01   6.08199370E+01
     141       2684.07     0.0051   8.810E+00   0.6712   0.3000   1.850E-17   4.17698990E+01   6.08112047E+01
     142       2692.88     0.0053   7.116E+00   0.5661   0.2440   2.201E-17   4.17778406E+01   6.08020356E+01
     143          2700     0.0049   8.373E+00   0.6733   0.3000   1.609E-17   4.17842471E+01   6.07944070E+01
     144       2708.37     2.6085   8.248E+00   0.6551   0.3000   1.475E-17   4.17917764E+01   6.07852280E+01
     145       2716.62     0.0045   8.354E+00   0.6584   0.3000   1.701E-17   4.17991833E+01   6.07760174E+01
     146       2724.98     0.0045   8.319E+00   0.6638   0.3000   1.407E-17   4.18066768E+01   6.07663973E+01
     147       2733.29     0.0045   8.665E+00   0.6921   0.3000   1.800E-17   4.18141294E+01   6.07565274E+01
     148       2741.96     0.0051   8.486E+00   0.6664   0.3000   1.374E-17   4.18218818E+01   6.07459553E+01
     149       2750.44     0.0044   8.231E+00   0.6346   0.3000   1.889E-17   4.18294649E+01   6.07353496E+01
     150       2758.68     0.0045   8.126E+00   0.6098   0.3000   1.623E-17   4.18368103E+01   6.07248577E+01
     151        2766.8     0.0045   8.382E+00   0.6338   0.3000   2.044E-17   4.18440534E+01   6.07143420E+01
     152       2775.18     0.0044   8.437E+00   0.6304   0.3000   1.417E-17   4.18515153E+01   6.07033296E+01
     153       2783.62     0.0045   8.571E+00   0.6178   0.3000   1.419E-17   4.18590163E+01   6.06919841E+01
     154       2792.19     0.0044   8.605E+00   0.6086   0.3000   1.781E-17   4.18666269E+01   6.06802177E+01
     155        2800.8     0.0045   8.482E+00   0.6000   0.3000   2.248E-17   4.18742571E+01   6.06682754E+01
